Data,Hora,Dolar,Euro,Bitcoin
05/12/2025,11:01:18,5.32,6.19,482938.00
05/12/2025,11:01:29,5.32,6.19,485731.00
05/12/2025,11:01:39,5.32,6.19,482159.00
05/12/2025,11:01:49,5.32,6.19,482159.00
05/12/2025,11:01:59,5.32,6.19,482159.00
05/12/2025,11:02:10,5.32,6.19,482159.00
05/12/2025,11:02:20,5.32,6.19,482159.00
05/12/2025,11:02:30,5.32,6.19,482159.00
05/12/2025,11:02:40,5.32,6.19,482159.00
05/12/2025,11:02:50,5.32,6.19,482159.00
